ticker,scenario,latest_quarter_revenue_b,latest_quarter_net_income_b,shares_outstanding_b,rev_y1,rev_y2,rev_y3,ni_y1,ni_y2,ni_y3,durable_growth_view,growth_weight_pct,notes
TSLA,bear,23.35,0.477,3.224,8,8,10,-10,0,8,5,35,Qualitative guidance; Q1 values and shares included
TSLA,base,23.35,0.477,3.224,12,12,14,5,10,15,10,60,Qualitative guidance; Q1 values and shares included
TSLA,bull,23.35,0.477,3.224,18,18,20,20,25,28,15,75,Qualitative guidance; Q1 values and shares included
CELH,bear,0.783,0.085,0.239,20,18,16,18,16,14,8,35,No clean numeric guidance; Q1 values and shares included
CELH,base,0.783,0.085,0.239,28,25,22,30,25,22,12,60,No clean numeric guidance; Q1 values and shares included
CELH,bull,0.783,0.085,0.239,38,34,30,42,36,30,18,75,No clean numeric guidance; Q1 values and shares included
SOFI,bear,1.1,0.1667,1.116,24,22,20,20,18,16,10,35,Management guidance-based starter assumptions; latest quarter values and shares included
SOFI,base,1.1,0.1667,1.116,30,27,24,30,26,22,14,60,Management guidance-based starter assumptions; latest quarter values and shares included
SOFI,bull,1.1,0.1667,1.116,38,34,30,42,36,30,18,75,Management guidance-based starter assumptions; latest quarter values and shares included
MU,bear,23.86,13.79,1.11,35,25,18,40,30,22,10,35,Trough rebound toned down; latest quarter values and shares included
MU,base,23.86,13.79,1.11,45,32,22,55,38,26,14,60,Trough rebound toned down; latest quarter values and shares included
MU,bull,23.86,13.79,1.11,60,42,30,75,50,35,20,75,Trough rebound toned down; latest quarter values and shares included
PLTR,bear,1.633,0.871,2.369,55,42,32,65,50,38,16,35,"Very strong guidance, but NI growth toned down; latest quarter values and shares included"
PLTR,base,1.633,0.871,2.369,71,55,42,85,65,48,22,60,"Very strong guidance, but NI growth toned down; latest quarter values and shares included"
PLTR,bull,1.633,0.871,2.369,85,65,50,110,82,60,28,75,"Very strong guidance, but NI growth toned down; latest quarter values and shares included"
ADBE,bear,6.40,1.889,0.438,10,9,8,12,11,10,8,35,"Next batch added; Q1 FY26 revenue and net income included, shares left blank; shares included"
ADBE,base,6.40,1.889,0.438,12,11,10,15,14,13,12,60,"Next batch added; Q1 FY26 revenue and net income included, shares left blank; shares included"
ADBE,bull,6.40,1.889,0.438,15,14,13,20,18,16,16,75,"Next batch added; Q1 FY26 revenue and net income included, shares left blank; shares included"
ELF,bear,0.3537,,0.060,8,7,6,8,7,6,8,35,"Next batch added; Q1 FY26 revenue included, net income and shares left blank; shares included"
ELF,base,0.3537,,0.060,12,10,8,12,10,8,12,60,"Next batch added; Q1 FY26 revenue included, net income and shares left blank; shares included"
ELF,bull,0.3537,,0.060,18,15,12,18,15,12,16,75,"Next batch added; Q1 FY26 revenue included, net income and shares left blank; shares included"
SOUN,bear,0.0442,-0.0250,0.430,25,22,20,20,18,15,12,35,"Next batch added; Q1 2026 revenue and GAAP net loss included, shares left blank; shares included"
SOUN,base,0.0442,-0.0250,0.430,35,30,26,30,24,20,18,60,"Next batch added; Q1 2026 revenue and GAAP net loss included, shares left blank; shares included"
SOUN,bull,0.0442,-0.0250,0.430,45,38,32,40,32,26,24,75,"Next batch added; Q1 2026 revenue and GAAP net loss included, shares left blank; shares included"
GOOGL,bear,109.9,62.6,12.116,12,10,9,10,8,7,10,35,"Next batch added; Q1 2026 revenue and net income included, shares left blank; shares included"
GOOGL,base,109.9,62.6,12.116,18,15,12,15,12,10,14,60,"Next batch added; Q1 2026 revenue and net income included, shares left blank; shares included"
GOOGL,bull,109.9,62.6,12.116,24,20,16,22,18,14,18,75,"Next batch added; Q1 2026 revenue and net income included, shares left blank; shares included"
UNH,bear,,,0.910,3,3,4,2,2,3,6,35,Next batch added; fundamentals left blank for manual entry or preservation; shares included
UNH,base,,,0.910,6,6,7,5,5,6,10,60,Next batch added; fundamentals left blank for manual entry or preservation; shares included
UNH,bull,,,0.910,10,9,9,9,8,8,14,75,Next batch added; fundamentals left blank for manual entry or preservation; shares included
PANW,bear,2.6,,0.770,10,9,8,12,10,9,8,35,"Next batch added; FQ2-26 revenue included, net income and shares left blank; shares included"
PANW,base,2.6,,0.770,15,13,11,18,15,12,12,60,"Next batch added; FQ2-26 revenue included, net income and shares left blank; shares included"
PANW,bull,2.6,,0.770,20,17,14,25,20,16,16,75,"Next batch added; FQ2-26 revenue included, net income and shares left blank; shares included"
V,bear,11.2,6.0,1.920,10,9,8,12,10,9,8,35,"Next batch added; FQ2-26 revenue and net income included, shares left blank; shares included"
V,base,11.2,6.0,1.920,14,12,10,16,14,12,12,60,"Next batch added; FQ2-26 revenue and net income included, shares left blank; shares included"
V,bull,11.2,6.0,1.920,18,15,12,20,17,14,16,75,"Next batch added; FQ2-26 revenue and net income included, shares left blank; shares included"
CSCO,bear,15.3,3.2,3.984,4,4,4,4,4,4,6,35,"Next batch added; FQ2-26 revenue and net income included, shares left blank; shares included"
CSCO,base,15.3,3.2,3.984,6,6,6,6,6,6,10,60,"Next batch added; FQ2-26 revenue and net income included, shares left blank; shares included"
CSCO,bull,15.3,3.2,3.984,8,8,8,9,9,9,14,75,"Next batch added; FQ2-26 revenue and net income included, shares left blank; shares included"
LOW,bear,,,0.561,2,2,3,2,2,3,6,35,Next batch added; fundamentals left blank for manual entry or preservation; shares included
LOW,base,,,0.561,4,4,5,4,4,5,10,60,Next batch added; fundamentals left blank for manual entry or preservation; shares included
LOW,bull,,,0.561,7,6,6,7,6,6,14,75,Next batch added; fundamentals left blank for manual entry or preservation; shares included
ACN,bear,,,0.615,4,4,4,4,4,4,6,35,Next batch added; fundamentals left blank for manual entry or preservation; shares included
ACN,base,,,0.615,6,6,6,6,6,6,10,60,Next batch added; fundamentals left blank for manual entry or preservation; shares included
ACN,bull,,,0.615,9,8,8,9,8,8,14,75,Next batch added; fundamentals left blank for manual entry or preservation; shares included
